Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]
SRS4060845.SRR8216182	SRS4060845.SRR8216182 (Source)	Insect	V3-V4	Adult cuticle
SRS4060846.SRR8216179	SRS4060846.SRR8216179 (Source)	Insect	V3-V4	Adult internal
SRS4060847.SRR8216177	SRS4060847.SRR8216177 (Source)	Insect	V3-V4	Larvae internal
SRS4060848.SRR8216178	SRS4060848.SRR8216178 (Source)	Insect	V3-V4	Adult internal
SRS4060849.SRR8216176	SRS4060849.SRR8216176 (Source)	Insect	V3-V4	Larvae internal
SRS4060850.SRR8216175	SRS4060850.SRR8216175 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060851.SRR8216174	SRS4060851.SRR8216174 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060852.SRR8216173	SRS4060852.SRR8216173 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060853.SRR8216171	SRS4060853.SRR8216171 (Source)	Insect	V3-V4	Larvae internal
SRS4060854.SRR8216172	SRS4060854.SRR8216172 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060855.SRR8216170	SRS4060855.SRR8216170 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060856.SRR8216169	SRS4060856.SRR8216169 (Source)	Insect	V3-V4	Larvae internal
SRS4060857.SRR8216168	SRS4060857.SRR8216168 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060858.SRR8216167	SRS4060858.SRR8216167 (Source)	Insect	V3-V4	Larvae internal
SRS4060859.SRR8216165	SRS4060859.SRR8216165 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060860.SRR8216166	SRS4060860.SRR8216166 (Source)	Insect	V3-V4	Larvae internal
SRS4060861.SRR8216164	SRS4060861.SRR8216164 (Source)	Insect	V3-V4	Adult cuticle
SRS4060862.SRR8216163	SRS4060862.SRR8216163 (Source)	Insect	V3-V4	Adult cuticle
SRS4060863.SRR8216162	SRS4060863.SRR8216162 (Source)	Insect	V3-V4	Adult cuticle
SRS4060864.SRR8216161	SRS4060864.SRR8216161 (Source)	Insect	V3-V4	Adult internal
SRS4060865.SRR8216159	SRS4060865.SRR8216159 (Source)	Insect	V3-V4	Adult internal
SRS4060866.SRR8216160	SRS4060866.SRR8216160 (Source)	Insect	V3-V4	Adult internal
SRS4060867.SRR8216158	SRS4060867.SRR8216158 (Source)	Insect	V3-V4	Adult internal
SRS4060868.SRR8216156	SRS4060868.SRR8216156 (Source)	Insect	V3-V4	Adult cuticle
SRS4060869.SRR8216157	SRS4060869.SRR8216157 (Source)	Insect	V3-V4	Adult internal
SRS4060870.SRR8216155	SRS4060870.SRR8216155 (Source)	Insect	V3-V4	Adult cuticle
SRS4060871.SRR8216154	SRS4060871.SRR8216154 (Source)	Insect	V3-V4	Larvae internal
SRS4060872.SRR8216153	SRS4060872.SRR8216153 (Source)	Insect	V3-V4	Larvae internal
SRS4060873.SRR8216152	SRS4060873.SRR8216152 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060874.SRR8216151	SRS4060874.SRR8216151 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060875.SRR8216150	SRS4060875.SRR8216150 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060876.SRR8216149	SRS4060876.SRR8216149 (Source)	Insect	V3-V4	Larvae internal
SRS4060877.SRR8216148	SRS4060877.SRR8216148 (Source)	Insect	V3-V4	Larvae internal
SRS4060878.SRR8216147	SRS4060878.SRR8216147 (Source)	Insect	V3-V4	Larvae internal
SRS4060879.SRR8216146	SRS4060879.SRR8216146 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060880.SRR8216145	SRS4060880.SRR8216145 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060881.SRR8216144	SRS4060881.SRR8216144 (Source)	Insect	V3-V4	Adult cuticle
SRS4060882.SRR8216143	SRS4060882.SRR8216143 (Source)	Insect	V3-V4	Adult internal
SRS4060883.SRR8216142	SRS4060883.SRR8216142 (Source)	Insect	V3-V4	Adult cuticle
SRS4060884.SRR8216141	SRS4060884.SRR8216141 (Source)	Insect	V3-V4	Adult cuticle
SRS4060885.SRR8216140	SRS4060885.SRR8216140 (Source)	Insect	V3-V4	Adult cuticle
SRS4060886.SRR8216139	SRS4060886.SRR8216139 (Source)	Insect	V3-V4	Adult internal
SRS4060887.SRR8216138	SRS4060887.SRR8216138 (Source)	Insect	V3-V4	Adult cuticle
SRS4060888.SRR8216137	SRS4060888.SRR8216137 (Source)	Insect	V3-V4	Adult internal
SRS4060889.SRR8216136	SRS4060889.SRR8216136 (Source)	Insect	V3-V4	Adult internal
SRS4060890.SRR8216134	SRS4060890.SRR8216134 (Source)	Insect	V3-V4	Adult cuticle
SRS4060891.SRR8216135	SRS4060891.SRR8216135 (Source)	Insect	V3-V4	Adult cuticle
SRS4060892.SRR8216133	SRS4060892.SRR8216133 (Source)	Insect	V3-V4	Larvae internal
SRS4060893.SRR8216132	SRS4060893.SRR8216132 (Source)	Insect	V3-V4	Larvae internal
SRS4060894.SRR8216131	SRS4060894.SRR8216131 (Source)	Insect	V3-V4	Larvae internal
