Participant_Id	Country [ENVO_00000009]	Elevation [ENVO_00000176]	Environment (biome) [ENVO_00000428]	Habitat [ENVO_01000739]	Title [OBI_0001622]
700016079 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016081 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016083 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016085 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016087 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016089 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016091 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016092 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016095 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016097 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016099 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016101 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016142 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016150 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016154 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016156 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016158 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016160 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016162 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016164 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016166 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016168 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016170 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016172 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016174 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016176 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016178 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016315 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016319 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016321 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016323 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016325 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016327 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016329 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016331 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016333 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016335 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016337 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016339 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016341 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016343 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016356 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016360 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016362 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016364 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016366 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016368 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016370 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016372 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016374 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016376 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016502 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016504 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016506 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016564 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016572 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016576 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016578 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016580 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016582 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016584 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016586 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016588 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016590 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016602 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016604 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016606 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016610 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016622 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016628 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
