Sample_Id	participant_repeated_measure_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample collection device or method [OBI_0003070]	Sample type [OBI_0100051]
SRR7039418	ID1_211 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039419	ID1_33 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039420	ID1_32 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039421	ID1_31 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039422	ID1_217 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039423	ID1_87 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039424	ID1_34 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039425	ID1_40 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039426	ID1_39 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039427	ID1_194 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039428	ID1_193 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039429	ID1_192 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039430	ID1_191 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039431	ID1_198 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039432	ID1_197 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039433	ID1_196 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039434	ID1_195 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039435	ID1_200 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039436	ID1_199 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039437	ID1_100 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039438	ID1_99 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039439	ID1_120 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039440	ID1_119 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039441	ID1_90 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039442	ID1_114 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039443	ID1_113 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039444	ID1_112 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039445	ID1_111 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039446	ID1_118 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039447	ID1_117 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039448	ID1_116 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039449	ID1_115 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039450	ID1_8 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039451	ID1_7 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039452	ID1_89 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039453	ID1_21 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039454	ID1_22 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039455	ID1_23 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039456	ID1_24 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039457	ID1_25 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039458	ID1_26 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039459	ID1_27 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039460	ID1_28 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039461	ID1_29 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039462	ID1_30 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039463	ID1_4 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039464	ID1_219 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039465	ID1_220 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039466	ID1_3 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039467	ID1_86 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039468	ID1_83 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039469	ID1_84 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039470	ID1_81 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039471	ID1_82 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039472	ID1_121 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039473	ID1_212 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039474	ID1_213 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039475	ID1_214 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039476	ID1_215 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039477	ID1_216 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039478	ID1_122 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039479	ID1_218 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039480	ID1_127 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039481	ID1_128 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039482	ID1_125 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039483	ID1_126 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039484	ID1_123 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039485	ID1_124 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039486	ID1_2 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039487	ID1_1 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039488	ID1_92 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039489	ID1_129 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039490	ID1_130 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039491	ID1_91 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039492	ID1_20 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039493	ID1_19 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039494	ID1_16 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039495	ID1_15 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039496	ID1_18 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039497	ID1_17 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039498	ID1_12 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039499	ID1_11 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039500	ID1_14 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039501	ID1_13 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039502	ID1_230 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039503	ID1_10 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039504	ID1_229 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039505	ID1_9 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039506	ID1_208 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039507	ID1_207 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039508	ID1_206 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039509	ID1_205 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039510	ID1_204 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039511	ID1_203 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039512	ID1_202 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039513	ID1_201 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039514	ID1_210 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039515	ID1_209 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039516	ID1_136 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039517	ID1_135 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039518	ID1_138 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039519	ID1_137 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039520	ID1_132 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039521	ID1_131 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039522	ID1_134 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039523	ID1_133 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039524	ID1_140 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039525	ID1_139 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041306	ID2_17 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041307	ID2_18 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041308	ID2_15 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041309	ID2_16 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041310	ID2_13 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7041311	ID2_14 (Source)	ID2 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
